"","Station","Camera","Species","DateTimeOriginal","Date","Time"
"242",20,"20B","Tayassu pecari",2018-07-23 16:48:36,2018-07-23,"16:48:36"
"243",30,"30B","Mazama gouazoubira",2018-07-24 10:01:32,2018-07-24,"10:01:32"
"244",8,"8B","Mazama gouazoubira",2018-07-24 10:21:28,2018-07-24,"10:21:28"
"245",15,"15A","Mazama gouazoubira",2018-07-24 12:09:03,2018-07-24,"12:09:03"
"246",9,"9B","Psophia crepitans",2018-07-24 17:28:09,2018-07-24,"17:28:09"
"247",24,"24A","Cuniculus paca",2018-07-25 01:18:51,2018-07-25,"1:18:51"
"248",9,"9B","Mazama americana",2018-07-25 05:35:35,2018-07-25,"5:35:35"
"249",7,"7A","Dicotyles tajacu",2018-07-25 05:53:41,2018-07-25,"5:53:41"
"250",24,"24A","Dasyprocta fuliginosa",2018-07-25 06:48:44,2018-07-25,"6:48:44"
"251",8,"8B","Mazama americana",2018-07-25 10:40:16,2018-07-25,"10:40:16"
"252",14,"14A","Dasyprocta fuliginosa",2018-07-25 15:09:13,2018-07-25,"15:09:13"
"253",28,"28A","Psophia crepitans",2018-07-25 16:24:16,2018-07-25,"16:24:16"
"254",2,"2B","Atelocynus microtis",2018-07-26 00:01:40,2018-07-26,"0:01:40"
"255",20,"20B","Dicotyles tajacu",2018-07-26 07:02:36,2018-07-26,"7:02:36"
"256",20,"20A","Tayassu pecari",2018-07-26 07:02:36,2018-07-26,"7:02:36"
"257",8,"8B","Mazama gouazoubira",2018-07-26 09:09:27,2018-07-26,"9:09:27"
"258",21,"21A","Dasyprocta fuliginosa",2018-07-26 12:12:43,2018-07-26,"12:12:43"
"259",8,"8B","Mazama gouazoubira",2018-07-26 15:40:37,2018-07-26,"15:40:37"
"260",12,"12A","Dasyprocta fuliginosa",2018-07-26 16:02:34,2018-07-26,"16:02:34"
"261",12,"12A","Psophia crepitans",2018-07-26 16:05:24,2018-07-26,"16:05:24"
"262",22,"22A","Mitu salvini",2018-07-26 17:09:07,2018-07-26,"17:09:07"
"263",18,"18A","Dasyprocta fuliginosa",2018-07-26 17:41:51,2018-07-26,"17:41:51"
"264",22,"22A","Mazama americana",2018-07-26 21:06:12,2018-07-26,"21:06:12"
"265",24,"24A","Cuniculus paca",2018-07-26 23:37:35,2018-07-26,"23:37:35"
"266",18,"18A","Tayassu pecari",2018-07-27 07:37:51,2018-07-27,"7:37:51"
"267",3,"3A","Myrmecophaga tridactyla",2018-07-27 09:52:14,2018-07-27,"9:52:14"
"268",26,"26B","Dicotyles tajacu",2018-07-27 11:34:34,2018-07-27,"11:34:34"
"269",8,"8B","Mazama americana",2018-07-27 12:32:27,2018-07-27,"12:32:27"
"270",28,"28A","Tayassu pecari",2018-07-27 16:45:01,2018-07-27,"16:45:01"
"271",18,"18A","Dasyprocta fuliginosa",2018-07-27 18:01:51,2018-07-27,"18:01:51"
"272",24,"24A","Cuniculus paca",2018-07-27 19:22:33,2018-07-27,"19:22:33"
"273",21,"21B","Dasypus novemcinctus",2018-07-27 19:24:52,2018-07-27,"19:24:52"
"274",22,"22A","Mazama americana",2018-07-27 21:24:30,2018-07-27,"21:24:30"
"275",3,"3B","Cuniculus paca",2018-07-27 22:36:23,2018-07-27,"22:36:23"
"276",8,"8B","Mazama gouazoubira",2018-07-28 05:05:00,2018-07-28,"5:05:00"
"277",8,"8B","Mazama gouazoubira",2018-07-28 06:16:22,2018-07-28,"6:16:22"
"278",21,"21B","Mitu salvini",2018-07-28 06:30:15,2018-07-28,"6:30:15"
"279",4,"4B","Atelocynus microtis",2018-07-28 06:43:58,2018-07-28,"6:43:58"
"280",8,"8B","Dasyprocta fuliginosa",2018-07-28 07:28:03,2018-07-28,"7:28:03"
"281",13,"13A","Tayassu pecari",2018-07-28 09:26:41,2018-07-28,"9:26:41"
"282",13,"13B","Dicotyles tajacu",2018-07-28 09:27:04,2018-07-28,"9:27:04"
"283",21,"21A","Dasyprocta fuliginosa",2018-07-28 10:53:54,2018-07-28,"10:53:54"
"284",22,"22A","Mazama americana",2018-07-28 12:16:48,2018-07-28,"12:16:48"
"285",25,"25A","Mazama gouazoubira",2018-07-28 12:31:56,2018-07-28,"12:31:56"
"286",14,"14A","Dasyprocta fuliginosa",2018-07-28 17:55:29,2018-07-28,"17:55:29"
"287",30,"30B","Atelocynus microtis",2018-07-28 22:51:48,2018-07-28,"22:51:48"
"288",24,"24A","Cuniculus paca",2018-07-28 22:52:12,2018-07-28,"22:52:12"
"289",17,"17B","Mazama americana",2018-07-29 06:06:32,2018-07-29,"6:06:32"
"290",29,"29A","Tayassu pecari",2018-07-29 09:00:38,2018-07-29,"9:00:38"
"291",15,"15B","Cebus albifrons",2018-07-29 10:19:31,2018-07-29,"10:19:31"
"292",4,"4A","Mazama gouazoubira",2018-07-29 16:33:43,2018-07-29,"16:33:43"
"293",11,"11A","Mazama americana",2018-07-29 16:45:14,2018-07-29,"16:45:14"
